epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1365.52,0.96523,0.80115,1.29952,0.7336,0.63417,0.67582,0.49097,1.25281,1.42517,1.68795,0.00023839,0.00023839,0.00023839
2,2470.48,0.98249,0.82933,1.30644,0.67808,0.62873,0.64717,0.45908,1.35324,1.5608,1.80489,0.000436507,0.000436507,0.000436507
3,3842.48,1.04424,0.91657,1.36244,0.66002,0.57007,0.60423,0.40262,1.42835,1.67017,1.92222,0.000585901,0.000585901,0.000585901
4,4953.24,1.09813,0.99968,1.40937,0.64758,0.6078,0.61839,0.43787,1.32937,1.67789,1.78777,0.000540607,0.000540607,0.000540607
5,5993.3,1.08926,0.97885,1.39412,0.70598,0.5681,0.63412,0.43617,1.31605,1.70703,1.73755,0.000464476,0.000464476,0.000464476
6,7369.78,1.05773,0.9333,1.3674,0.65075,0.59832,0.60627,0.43059,1.29136,1.5909,1.74089,0.000388345,0.000388345,0.000388345
7,8526.23,1.02936,0.89412,1.33737,0.69169,0.59289,0.6183,0.4418,1.31187,1.65066,1.76371,0.000312214,0.000312214,0.000312214
8,9734.27,1.00561,0.85361,1.329,0.68192,0.63532,0.66597,0.46263,1.26422,1.46363,1.70637,0.000236083,0.000236083,0.000236083
9,10772.9,0.99402,0.81395,1.32017,0.67843,0.65816,0.66494,0.48542,1.24877,1.46388,1.68853,0.000159952,0.000159952,0.000159952
10,11893.9,0.9757,0.78417,1.29858,0.70532,0.64707,0.6768,0.48463,1.25089,1.42792,1.71193,8.3821e-05,8.3821e-05,8.3821e-05
