epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1292.28,1.86914,2.64635,2.24087,0.48722,0.36347,0.39753,0.23548,1.50763,2.45976,2.08522,0.00023839,0.00023839,0.00023839
2,2452.51,1.78038,2.42464,2.16603,0.4952,0.37751,0.38754,0.22457,1.58104,2.49045,2.13615,0.000460489,0.000460489,0.000460489
3,3508.68,1.78199,2.45275,2.14841,0.42113,0.32761,0.31093,0.15997,1.64379,2.90168,2.1779,0.000658226,0.000658226,0.000658226
4,4711.6,1.75457,2.4143,2.11456,0.49058,0.36279,0.37591,0.22415,1.59917,2.78051,2.08877,0.000654804,0.000654804,0.000654804
5,5825.78,1.71417,2.35949,2.07795,0.36093,0.47637,0.36806,0.21962,1.64095,2.57664,2.21161,0.000616738,0.000616738,0.000616738
6,6863.63,1.67568,2.27072,2.03192,0.43026,0.35472,0.36208,0.20119,1.66982,2.66502,2.17999,0.000578672,0.000578672,0.000578672
7,8109.5,1.64226,2.20264,1.98787,0.55048,0.40166,0.42495,0.26806,1.5455,2.28159,2.04492,0.000540607,0.000540607,0.000540607
8,9327.88,1.62628,2.15864,1.96039,0.42273,0.44219,0.39296,0.23937,1.57022,2.37503,2.04846,0.000502541,0.000502541,0.000502541
9,10575,1.59256,2.08521,1.92213,0.49805,0.4566,0.46148,0.29375,1.47985,2.0978,1.94596,0.000464476,0.000464476,0.000464476
10,11802.7,1.56794,2.0224,1.89079,0.54098,0.43247,0.47556,0.30274,1.40739,2.0959,1.89465,0.000426411,0.000426411,0.000426411
11,12980.5,1.55494,1.91962,1.88244,0.51458,0.50725,0.49188,0.3157,1.44932,2.01622,1.90932,0.000388345,0.000388345,0.000388345
12,14188.5,1.49659,1.82121,1.82325,0.5054,0.515,0.49192,0.29741,1.47041,1.93209,1.90882,0.00035028,0.00035028,0.00035028
13,15353.6,1.47843,1.74127,1.80099,0.50135,0.52881,0.51153,0.3225,1.34037,1.82956,1.80966,0.000312214,0.000312214,0.000312214
14,16497.8,1.45568,1.68713,1.77489,0.64484,0.53328,0.5801,0.38436,1.35205,1.79739,1.80446,0.000274148,0.000274148,0.000274148
15,17640.5,1.42497,1.63321,1.74279,0.70911,0.51777,0.60689,0.42514,1.28587,1.66946,1.73654,0.000236083,0.000236083,0.000236083
16,18781.5,1.39445,1.58342,1.71826,0.60408,0.50727,0.56192,0.37123,1.35765,1.70211,1.80584,0.000198018,0.000198018,0.000198018
17,19921.3,1.37288,1.53393,1.69241,0.56492,0.58698,0.57479,0.40264,1.28434,1.79037,1.72774,0.000159952,0.000159952,0.000159952
18,21218.2,1.34103,1.48324,1.67097,0.67284,0.57744,0.62837,0.445,1.26188,1.59275,1.71372,0.000121887,0.000121887,0.000121887
19,22646.1,1.32463,1.44089,1.64799,0.70842,0.57013,0.6193,0.43366,1.2423,1.55231,1.69138,8.3821e-05,8.3821e-05,8.3821e-05
20,24056.6,1.303,1.41311,1.63783,0.71986,0.57611,0.6484,0.46316,1.22284,1.5221,1.67289,4.57555e-05,4.57555e-05,4.57555e-05
