epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1240.56,1.46148,1.88678,1.78436,0.60461,0.53686,0.57559,0.39597,1.28129,1.90987,1.75562,0.00023839,0.00023839,0.00023839
2,2438.99,1.45484,1.77085,1.77625,0.56367,0.52539,0.54311,0.36157,1.41283,1.8369,1.87014,0.000460489,0.000460489,0.000460489
3,3647.33,1.48972,1.85073,1.80009,0.52936,0.45919,0.48951,0.31041,1.46134,1.95323,1.93925,0.000658226,0.000658226,0.000658226
4,4816.03,1.49037,1.87049,1.80537,0.50599,0.49805,0.51334,0.32155,1.43632,1.85421,1.88362,0.000654804,0.000654804,0.000654804
5,6135.26,1.47186,1.8445,1.79844,0.54193,0.52298,0.45997,0.29044,1.43628,2.03652,1.88147,0.000616738,0.000616738,0.000616738
6,7614.15,1.46487,1.80494,1.77901,0.57325,0.51278,0.53692,0.34014,1.40924,1.85763,1.85373,0.000578672,0.000578672,0.000578672
7,8701.61,1.43027,1.74201,1.74581,0.65544,0.50598,0.58626,0.40254,1.37392,1.80329,1.81144,0.000540607,0.000540607,0.000540607
8,9773.6,1.4234,1.72817,1.73357,0.53214,0.53151,0.52864,0.34833,1.43071,1.78207,1.86658,0.000502541,0.000502541,0.000502541
9,10849.1,1.40684,1.69233,1.71041,0.61715,0.51211,0.58654,0.39782,1.31104,1.66982,1.7565,0.000464476,0.000464476,0.000464476
10,11920.4,1.38631,1.639,1.69129,0.63035,0.59725,0.58687,0.40012,1.29268,1.62133,1.73553,0.000426411,0.000426411,0.000426411
11,13309.2,1.34991,1.49677,1.65638,0.62801,0.54202,0.58526,0.38098,1.35104,1.69116,1.78307,0.000388345,0.000388345,0.000388345
12,14883.7,1.3104,1.42077,1.61455,0.63356,0.55712,0.58048,0.39543,1.28177,1.63894,1.71731,0.00035028,0.00035028,0.00035028
13,16179.2,1.2944,1.36184,1.59988,0.57947,0.61584,0.61569,0.41995,1.31291,1.64342,1.75579,0.000312214,0.000312214,0.000312214
14,17248,1.28217,1.32637,1.59114,0.6581,0.56728,0.62756,0.43138,1.27944,1.55857,1.69979,0.000274148,0.000274148,0.000274148
15,18284.1,1.2503,1.27616,1.5613,0.65581,0.5847,0.64059,0.45702,1.21927,1.48185,1.65749,0.000236083,0.000236083,0.000236083
16,19322.9,1.2222,1.24029,1.53714,0.67545,0.61692,0.63077,0.44294,1.28197,1.48302,1.69599,0.000198018,0.000198018,0.000198018
17,20354.7,1.20751,1.19273,1.51359,0.68441,0.59508,0.61644,0.43796,1.24927,1.55083,1.67577,0.000159952,0.000159952,0.000159952
18,21389.7,1.17781,1.15936,1.49971,0.65825,0.65393,0.65691,0.46924,1.24204,1.42763,1.67002,0.000121887,0.000121887,0.000121887
19,22448.6,1.16811,1.13346,1.48824,0.73184,0.57023,0.66682,0.48171,1.20556,1.42318,1.63461,8.3821e-05,8.3821e-05,8.3821e-05
20,23964.1,1.15518,1.11547,1.4806,0.68248,0.65966,0.6761,0.49176,1.18834,1.40584,1.62327,4.57555e-05,4.57555e-05,4.57555e-05
