epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1308.09,1.3032,1.55908,1.62052,0.63725,0.63826,0.62581,0.43322,1.27359,1.61629,1.72033,0.00023839,0.00023839,0.00023839
2,2701.29,1.28157,1.43144,1.59886,0.6631,0.52381,0.58481,0.40903,1.29657,1.66307,1.72651,0.000460489,0.000460489,0.000460489
3,3776.55,1.33017,1.50901,1.62867,0.62897,0.56761,0.58189,0.36704,1.39466,1.67345,1.81375,0.000658226,0.000658226,0.000658226
4,5059.5,1.33029,1.5346,1.64006,0.61252,0.60408,0.59297,0.40416,1.34945,1.71013,1.77443,0.000654804,0.000654804,0.000654804
5,6387.9,1.32904,1.53836,1.64933,0.63566,0.45545,0.52421,0.3453,1.36166,1.92636,1.79764,0.000616738,0.000616738,0.000616738
6,7504.32,1.31816,1.52211,1.62899,0.60288,0.59918,0.58775,0.38424,1.35882,1.64792,1.79954,0.000578672,0.000578672,0.000578672
7,8635.62,1.29834,1.47318,1.60819,0.57686,0.54949,0.57107,0.39929,1.31261,1.86794,1.73835,0.000540607,0.000540607,0.000540607
8,9742.79,1.29137,1.46664,1.60531,0.62071,0.56526,0.59457,0.40513,1.33209,1.57809,1.77676,0.000502541,0.000502541,0.000502541
9,10968.5,1.27302,1.43753,1.58363,0.64662,0.54645,0.60094,0.41255,1.30577,1.62478,1.75039,0.000464476,0.000464476,0.000464476
10,12031.4,1.26113,1.39748,1.57594,0.6383,0.62817,0.6128,0.42845,1.27529,1.54636,1.70868,0.000426411,0.000426411,0.000426411
11,13192.3,1.19898,1.21306,1.51074,0.62694,0.63928,0.64863,0.44716,1.28952,1.54929,1.71003,0.000388345,0.000388345,0.000388345
12,14282.5,1.17356,1.16287,1.4855,0.72505,0.59237,0.63949,0.45496,1.23696,1.49872,1.66699,0.00035028,0.00035028,0.00035028
13,15342.4,1.1626,1.10965,1.47123,0.68261,0.63725,0.65129,0.46034,1.27072,1.54516,1.69433,0.000312214,0.000312214,0.000312214
14,16358.7,1.14602,1.07502,1.46205,0.69751,0.60726,0.63779,0.44935,1.28274,1.61582,1.70937,0.000274148,0.000274148,0.000274148
15,17403.8,1.11568,1.04475,1.43619,0.67335,0.65792,0.66571,0.47882,1.22389,1.45665,1.65689,0.000236083,0.000236083,0.000236083
16,18421.1,1.09488,1.01021,1.41771,0.6796,0.61567,0.66611,0.46805,1.27903,1.4359,1.69876,0.000198018,0.000198018,0.000198018
17,19578.4,1.08291,0.98057,1.39996,0.71535,0.59184,0.65401,0.46867,1.24746,1.45508,1.68625,0.000159952,0.000159952,0.000159952
18,20783.9,1.06381,0.9518,1.39404,0.69534,0.65,0.67212,0.48588,1.23783,1.41389,1.66794,0.000121887,0.000121887,0.000121887
19,21931.2,1.05878,0.93428,1.3821,0.69088,0.65571,0.68678,0.50311,1.20399,1.36437,1.6339,8.3821e-05,8.3821e-05,8.3821e-05
20,23032.1,1.05165,0.92481,1.38125,0.7041,0.66631,0.68577,0.50438,1.20231,1.36604,1.63174,4.57555e-05,4.57555e-05,4.57555e-05
